pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,family_name,title,alone,family_size,deck,persons_on_ticket,fare_per_head
1,1,Elisabeth Walton,female,29.0,0,0,24160,211.3375,B5,S,2,survived,"St Louis, MO",Allen,Miss.,1,1,B,4,52.834375
1,1,Hudson Trevor,male,0.9167,1,2,113781,151.55,C22 C26,S,11,survived,"Montreal, PQ / Chesterville, ON",Allison,Master.,0,4,C,6,25.258333333333336
1,0,Helen Loraine,female,2.0,1,2,113781,151.55,C22 C26,S,not_found,not_found,"Montreal, PQ / Chesterville, ON",Allison,Miss.,0,4,C,6,25.258333333333336
1,0,Hudson Joshua Creighton,male,30.0,1,2,113781,151.55,C22 C26,S,not_found,135.0,"Montreal, PQ / Chesterville, ON",Allison,Mr.,0,4,C,6,25.258333333333336
1,0,Hudson J C (Bessie Waldo Daniels),female,25.0,1,2,113781,151.55,C22 C26,S,not_found,not_found,"Montreal, PQ / Chesterville, ON",Allison,Mrs.,0,4,C,6,25.258333333333336
1,1,Harry,male,48.0,0,0,19952,26.55,E12,S,3,survived,"New York, NY",Anderson,Mr.,1,1,E,1,26.55
1,1,Kornelia Theodosia,female,63.0,1,0,13502,77.9583,D7,S,10,survived,"Hudson, NY",Andrews,Miss.,0,2,D,3,25.986099999999997
1,0,Thomas Jr,male,39.0,0,0,112050,0.0,A36,S,not_found,not_found,"Belfast, NI",Andrews,Mr.,1,1,A,1,0.0
1,1,Edward Dale (Charlotte Lamson),female,53.0,2,0,11769,51.4792,C101,S,D,survived,"Bayside, Queens, NY",Appleton,Mrs.,0,3,C,2,25.7396
1,0,Ramon,male,71.0,0,0,PC 17609,49.5042,unknown,C,not_found,22.0,"Montevideo, Uruguay",Artagaveytia,Mr.,1,1,unknown,1,49.5042
1,0,John Jacob,male,47.0,1,0,PC 17757,227.525,C62 C64,C,not_found,124.0,"New York, NY",Astor,Col.,0,2,C,5,45.505
1,1,John Jacob (Madeleine Talmadge Force),female,18.0,1,0,PC 17757,227.525,C62 C64,C,4,survived,"New York, NY",Astor,Mrs.,0,2,C,5,45.505
1,1,Leontine Pauline,female,24.0,0,0,PC 17477,69.3,B35,C,9,survived,"Paris, France",Aubart,Mme.,1,1,B,2,34.65
1,1,"Ellen ""Nellie""",female,26.0,0,0,19877,78.85,unknown,S,6,survived,unknown,Barber,Miss.,1,1,unknown,3,26.28333333333333
1,1,Algernon Henry Wilson,male,80.0,0,0,27042,30.0,A23,S,B,survived,"Hessle, Yorks",Barkworth,Mr.,1,1,A,1,30.0
1,0,John D,male,43.925,0,0,PC 17318,25.925,unknown,S,not_found,not_found,"New York, NY",Baumann,Mr.,1,1,unknown,1,25.925
1,0,Quigg Edmond,male,24.0,0,1,PC 17558,247.5208,B58 B60,C,not_found,not_found,"Montreal, PQ",Baxter,Mr.,0,2,B,3,82.50693333333334
1,1,James (Helene DeLaudeniere Chaput),female,50.0,0,1,PC 17558,247.5208,B58 B60,C,6,survived,"Montreal, PQ",Baxter,Mrs.,0,2,B,3,82.50693333333334
1,1,Albina,female,32.0,0,0,11813,76.2917,D15,C,8,survived,unknown,Bazzani,Miss.,1,1,D,2,38.14585
1,0,Thomson,male,36.0,0,0,13050,75.2417,C6,C,A,not_found,"Winnipeg, MN",Beattie,Mr.,1,1,C,2,37.62085
1,1,Richard Leonard,male,37.0,1,1,11751,52.5542,D35,S,5,survived,"New York, NY",Beckwith,Mr.,0,3,D,2,26.2771
1,1,Richard Leonard (Sallie Monypeny),female,47.0,1,1,11751,52.5542,D35,S,5,survived,"New York, NY",Beckwith,Mrs.,0,3,D,2,26.2771
1,1,Karl Howell,male,26.0,0,0,111369,30.0,C148,C,5,survived,"New York, NY",Behr,Mr.,1,1,C,1,30.0
1,1,Rosalie,female,42.0,0,0,PC 17757,227.525,unknown,C,4,survived,unknown,Bidois,Miss.,1,1,unknown,5,45.505
1,1,Ellen,female,29.0,0,0,PC 17483,221.7792,C97,S,8,survived,unknown,Bird,Miss.,1,1,C,4,55.4448
1,0,Jakob,male,25.0,0,0,13905,26.0,unknown,C,not_found,148.0,"San Francisco, CA",Birnbaum,Mr.,1,1,unknown,1,26.0
1,1,Dickinson H,male,25.0,1,0,11967,91.0792,B49,C,7,survived,"Dowagiac, MI",Bishop,Mr.,0,2,B,2,45.5396
1,1,Dickinson H (Helen Walton),female,19.0,1,0,11967,91.0792,B49,C,7,survived,"Dowagiac, MI",Bishop,Mrs.,0,2,B,2,45.5396
1,1,Amelia,female,35.0,0,0,PC 17760,135.6333,C99,S,8,survived,unknown,Bissette,Miss.,1,1,C,4,33.908325
1,1,Mauritz Hakan,male,28.0,0,0,110564,26.55,C52,S,D,survived,"Stockholm, Sweden / Washington, DC",Bjornstrom-Steffansson,Mr.,1,1,C,1,26.55
1,0,Stephen Weart,male,45.0,0,0,113784,35.5,T,S,not_found,not_found,"Trenton, NJ",Blackwell,Mr.,1,1,T,1,35.5
1,1,Henry,male,40.0,0,0,112277,31.0,A31,C,7,survived,"Glen Ridge, NJ",Blank,Mr.,1,1,A,1,31.0
1,1,Caroline,female,30.0,0,0,36928,164.8667,C7,S,8,survived,"Youngstown, OH",Bonnell,Miss.,1,1,C,4,41.216675
1,1,Elizabeth,female,58.0,0,0,113783,26.55,C103,S,8,survived,"Birkdale, England Cleveland, Ohio",Bonnell,Miss.,1,1,C,1,26.55
1,0,John James,male,42.0,0,0,110489,26.55,D22,S,not_found,not_found,"London / Winnipeg, MB",Borebank,Mr.,1,1,D,1,26.55
1,1,Grace Scott,female,45.0,0,0,PC 17608,262.375,unknown,C,4,survived,"Cooperstown, NY",Bowen,Miss.,1,1,unknown,7,37.482142857142854
1,1,Elsie Edith,female,22.0,0,1,113505,55.0,E33,S,6,survived,"St Leonards-on-Sea, England Ohio",Bowerman,Miss.,0,2,E,2,27.5
1,1,"George (""George Arthur Brayton"")",male,36.774692592592594,0,0,111427,26.55,unknown,S,9,survived,"Los Angeles, CA",Bradley,Mr.,1,1,unknown,1,26.55
1,0,John Bertram,male,41.0,0,0,113054,30.5,A21,S,not_found,not_found,"Pomeroy, WA",Brady,Mr.,1,1,A,1,30.5
1,0,Emil,male,48.0,0,0,PC 17591,50.4958,B10,C,not_found,208.0,"Omaha, NE",Brandeis,Mr.,1,1,B,1,50.4958
1,0,Arthur Jackson,male,43.21621621621622,0,0,112379,39.6,unknown,C,not_found,not_found,"Philadelphia, PA",Brewe,Dr.,1,1,unknown,1,39.6
1,1,James Joseph (Margaret Tobin),female,44.0,0,0,PC 17610,27.7208,B4,C,6,survived,"Denver, CO",Brown,Mrs.,1,1,B,1,27.7208
1,1,John Murray (Caroline Lane Lamson),female,59.0,2,0,11769,51.4792,C101,S,D,survived,"Belmont, MA",Brown,Mrs.,0,3,C,2,25.7396
1,1,William Robert (Emma Eliza Ward),female,60.0,0,0,11813,76.2917,D15,C,8,survived,"Philadelphia, PA",Bucknell,Mrs.,1,1,D,2,38.14585
1,1,Elizabeth Margaret,female,41.0,0,0,16966,134.5,E40,C,3,survived,unknown,Burns,Miss.,1,1,E,5,26.9
1,0,Archibald Willingham,male,45.0,0,0,113050,26.55,B38,S,not_found,not_found,"Washington, DC",Butt,Major.,1,1,B,1,26.55
1,0,Alexander,male,43.925,0,0,113798,31.0,unknown,S,not_found,not_found,unknown,Cairns,Mr.,1,1,unknown,2,15.5
1,1,Edward Pennington,male,42.0,0,0,PC 17476,26.2875,E24,S,5,survived,"New York, NY",Calderhead,Mr.,1,1,E,1,26.2875
1,1,Edward (Helen Churchill Hungerford),female,53.0,0,0,PC 17606,27.4458,unknown,C,6,survived,"Washington, DC",Candee,Mrs.,1,1,unknown,1,27.4458
1,1,Thomas Drake Martinez,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,3,survived,"Austria-Hungary / Germantown, Philadelphia, PA",Cardeza,Mr.,0,2,B,4,128.0823
